Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Automatic,Petrol,Karachi,67000,"
HondaCity20121.3i-VTECProsmatecforSale
",1650000.0,1300,9
Automatic,Petrol,Karachi,89100,"
ToyotaPrado2010TXLimited2.7forSale
",10600000.0,2700,11
Automatic,Diesel,Karachi,65135,"
ToyotaHilux2017RevoVAutomatic3.0forSale
9.6/10
",6400000.0,3000,4
Automatic,Hybrid,Karachi,104200,"
ToyotaAqua2015SforSale
",2575000.0,1500,6
Automatic,Petrol,Karachi,38200,"
ToyotaCorolla2018AltisGrandeCVT-i1.8fo...
",3675000.0,1800,3
Manual,CNG,Karachi,93000,"
SuzukiAlto2011VXR(CNG)forSale
",670000.0,1000,10
Automatic,Petrol,Karachi,90000,"
DaihatsuMira2008CustomLforSale
",950000.0,660,13
Automatic,Petrol,Karachi,75000,"
ToyotaVitz2011F1.0forSale
",1598000.0,1000,10
Automatic,Petrol,Karachi,49000,"
DaihatsuCast2016StyleXforSale
",1735000.0000000002,660,5
Automatic,Petrol,Karachi,45350,"
ToyotaVitz2017F1.0forSale
",2525000.0,1000,4
Automatic,Petrol,Karachi,62000,"
NissanDayz2018XforSale
",1525000.0,660,3
Automatic,Diesel,Karachi,36000,"
ToyotaHilux2021RevoG2.8forSale
",0,2800,0
Automatic,Petrol,Karachi,5000,"
LexusLXSeries2016LX570forSale
",0,5700,5
Automatic,Petrol,Karachi,63000,"
ToyotaPrado2014TZG4.0forSale
",0,4000,7
Manual,Diesel,Karachi,39000,"
ToyotaHilux2016RevoG2.8forSale
",0,2800,5
Automatic,Diesel,Karachi,29000,"
ToyotaHilux2016RevoG2.8forSale
",0,2800,5
Automatic,Petrol,Karachi,41000,"
ToyotaVitz2018F1.0forSale
",2675000.0,1000,3
Automatic,Petrol,Karachi,57900,"
ToyotaVitz2018F1.0forSale
",2775000.0,1000,3
Automatic,Petrol,Karachi,45000,"
ToyotaCrown2014RoyalSaloonforSale
",0,2500,7
Automatic,Hybrid,Karachi,32500,"
HondaVezel2016HybridZforSale
",4350000.0,1500,5
Automatic,Petrol,Karachi,4000,"
RangeRoverAutobiography2019forSale
",0,2000,2
Automatic,Petrol,Karachi,25000,"
AudiA620181.8TFSIBusinessClassEdition...
",0,1800,3
Automatic,Petrol,Karachi,71000,"
ToyotaPixisEpoch2018XforSale
",2100000.0,660,3
Automatic,Petrol,Karachi,46000,"
LexusLXSeries2016LX570forSale
",0,5663,5
Automatic,Petrol,Karachi,40500,"
ToyotaPrado2017TXLPackage2.7forSale
",0,2700,4
Automatic,Petrol,Karachi,61000,"
FordF150Shelby2017SuperchargedforSale
",0,6200,4
Automatic,Petrol,Karachi,4700,"
MercedesBenzCClass2019C180AMGforSale
",0,1600,2
Automatic,Petrol,Karachi,16000,"
AudiA620161.8TFSIforSale
",0,1800,5
Automatic,Hybrid,Karachi,32000,"
ToyotaAqua2021forSale
",3400000.0,1500,0
Automatic,Petrol,Karachi,41055,"
AudiA620161.8TFSIforSale
",11500000.0,1800,5
Automatic,Petrol,Karachi,24000,"
MercedesBenzCClass2016C180Exclusivefor...
",0,1600,5
Automatic,Petrol,Karachi,26000,"
ToyotaLandCruiser2017AXforSale
",0,4600,4
Automatic,Petrol,Karachi,83000,"
ToyotaPrado2011TX2.7forSale
",0,2700,10
Automatic,Petrol,Karachi,34000,"
ToyotaVitz2018F1.0forSale
",0,1000,3
Automatic,Petrol,Karachi,12000,"
ToyotaPasso2018XforSale
",0,1000,3
Automatic,Petrol,Karachi,65000,"
ToyotaLandCruiser2013AXGSelectionforSale
",0,4600,8
Automatic,Petrol,Karachi,136000,"
ToyotaSurf2006SSR-G2.7forSale
",0,2700,15
Automatic,Petrol,Karachi,40000,"
ToyotaPrado2017TXLPackage2.7forSale
",0,2700,4
Automatic,Petrol,Karachi,28000,"
NissanDayzHighwayStar2018forSale
",2150000.0,660,3
Automatic,Petrol,Karachi,40000,"
NissanDayz2018XforSale
",1925000.0,660,3
Automatic,Petrol,Karachi,28000,"
SubaruStella2019LforSale
",2025000.0,660,2
Automatic,Hybrid,Karachi,38000,"
ToyotaVitz2018HybridU1.5forSale
",3125000.0,1500,3
Automatic,Petrol,Karachi,21000,"
SubaruPleo2018FSPECIALforSale
",2095000.0,660,3
Automatic,Petrol,Karachi,25000,"
HondaVezel2016HybridRSHondaSensingfor...
",0,1500,5
Automatic,Petrol,Karachi,48000,"
ToyotaCorolla2017GLiAutomatic1.3VVTifo...
",2850000.0,1300,4
Automatic,Petrol,Karachi,13000,"
SubaruPleo2018FSPECIALforSale
",1995000.0,660,3
Automatic,Petrol,Karachi,107000,"
NissanClipper2015GforSale
",1875000.0,660,6
Automatic,Petrol,Karachi,47000,"
HondaVezel2016HybridRSHondaSensingfor...
",0,1500,5
Automatic,Petrol,Karachi,300,"
MGHS20211.5TurboforSale
",6200000.0,1500,0
Automatic,Hybrid,Karachi,97000,"
ToyotaPrius2018SforSale
",4250000.0,1800,3
Automatic,Hybrid,Karachi,30986,"
HondaVezel2016HybridZforSale
",4530000.0,1500,5
Automatic,Petrol,Karachi,14000,"
KIASportage2020FWDforSale
",5200000.0,2000,1
Manual,Petrol,Karachi,98000,"
ToyotaCorolla2011GLi1.3VVTiforSale
",1425000.0,1300,10
Manual,Petrol,Karachi,90000,"
SuzukiCultus2011VXRi(CNG)forSale
",869999.9999999999,1000,10
Manual,Petrol,Karachi,56000,"
SuzukiSwift2011DX1.3forSale
",1125000.0,1300,10
Automatic,Petrol,Karachi,46000,"
ToyotaPrado2018TX2.7forSale
",0,2700,3
Automatic,Petrol,Karachi,22000,"
ToyotaCorolla2020AltisGrandeCVT-i1.8fo...
",4100000.0,1800,1
